year,Africa,Americas,Asia,Europe,Oceania,population,population-B
1930,100776419,100091493,400075411,400867469,12582041,1.014392833,1014392833
1950,227776419,335791493,1368075411,548867469,12582041,2.493092833,2493092833
1951,232556971,342809280,1394810949,553834803,12915026,2.536927029,2536927029
1952,237539544,350086865,1424440987,558789986,13228957,2.584086339,2584086339
1953,242685066,357599607,1456150768,564143731,13527050,2.634106222,2634106222
1954,248005818,365377092,1488943455,569744202,13824307,2.685894874,2685894874
1955,253537850,373407277,1523680044,575443526,14145100,2.740213797,2740213797
1956,259271439,381692163,1558805650,581156297,14484448,2.795409997,2795409997
1957,265128663,390249080,1595227779,587187573,14825230,2.852618325,2852618325
1958,271041739,398992349,1632429840,593619871,15165875,2.911249674,2911249674
1959,277271607,408077037,1665271765,599820048,15509891,2.965950348,2965950348
1960,283921952,417520522,1692348915,605817189,15862304,3.015470882,3015470882
1961,290813750,427225741,1718751809,611861858,16216514,3.064869672,3064869672
1962,297959631,437118235,1753920101,617815761,16560587,3.123374315,3123374315
1963,305371042,447027460,1799912159,623592899,16904250,3.19280781,3192807810
1964,313060398,456963601,1848054069,629154959,17254315,3.264487342,3264487342
1965,321013250,466843178,1894647591,634412816,17616872,3.334533707,3334533707
1966,329251993,476580531,1940809582,639413303,17985711,3.40404112,3404041120
1967,337850713,486190006,1986937252,644103047,18331859,3.473412877,3473412877
1968,346800643,495698218,2035404656,648613871,18669865,3.545187253,3545187253
1969,356032260,505217478,2086069569,653138813,19033436,3.619491556,3619491556
1970,365551874,515080522,2137559048,656998550,19493815,3.694683809,3694683809
1971,375326099,525203246,2188326576,660956210,20035734,3.769847865,3769847865
1972,385311883,535104027,2238486523,665521464,20493793,3.84491769,3844917690
1973,395821648,544799459,2289518342,669799765,20865841,3.920805055,3920805055
1974,406869977,554515598,2340061189,673741422,21227902,3.996416088,3996416088
1975,418433160,564296858,2389170024,677279664,21555564,4.07073527,4070735270
1976,430496629,574121361,2437129378,680656878,21842132,4.144246378,4144246378
1977,442660133,584093311,2484896158,684099950,22114263,4.217863815,4217863815
1978,455538925,594231922,2532509773,687433738,22383131,4.292097489,4292097489
1979,469198175,604509080,2581432946,690745946,22653380,4.368539527,4368539527
1980,483051387,614995559,2632326534,694278653,22954137,4.44760627,4447606270
1981,497620643,625567978,2684687855,697593694,23307159,4.528777329,4528777329
1982,512958551,636207174,2739365858,700451496,23690309,4.612673388,4612673388
1983,528232408,646988452,2794764059,703278523,24064144,4.697327586,4697327586
1984,543637781,657807334,2850199037,706110631,24420730,4.782175513,4782175513
1985,559663771,668598299,2906963725,708940406,24777243,4.868943444,4868943444
1986,575967004,679322518,2965641162,711992643,25149503,4.95807283,4958072830
1987,592601033,690036435,3026396349,715168352,25544234,5.049746403,5049746403
1988,609387393,700864741,3087408996,718375298,25956095,5.141992523,5141992523
1989,626358876,711800736,3148471009,721424433,26376679,5.234431733,5234431733
1990,643775030,723167029,3209882591,724139400,26839030,5.32780308,5327803080
1991,661103507,734827528,3269006373,726483509,27314981,5.418735898,5418735898
1992,678557822,746446435,3325622591,727616693,27746316,5.505989857,5505989857
1993,696621490,757897506,3380865819,728005909,28154044,5.591544768,5591544768
1994,714502385,769066720,3434524779,728884651,28572743,5.675551278,5675551278
1995,732695149,780097788,3487680513,729380598,29024929,5.758878977,5758878977
1996,751473491,790984090,3540729989,729369831,29498349,5.84205575,5842055750
1997,770384412,801748681,3593265328,729425133,29964284,5.924787838,5924787838
1998,789981456,812545221,3645256154,728864105,30419763,6.007066699,6007066699
1999,810079553,823277581,3696551685,728217680,30879799,6.089006298,6089006298
2000,830582527,833823329,3747780316,728164203,31352628,6.171703003,6171703003
2001,851690082,844243627,3798918117,728237719,31846890,6.254936435,6254936435
2002,873411063,854486140,3848340943,729126513,32365687,6.337730346,6337730346
2003,895734225,864557890,3896798937,730376377,32894223,6.420361652,6420361652
2004,918778215,874538475,3945396131,731246189,33418745,6.503377755,6503377755
2005,942546391,884494787,3993926571,732046513,33955853,6.586970115,6586970115
2006,966932135,894470072,4042825697,732684066,34540031,6.671452001,6671452001
2007,992055602,904530238,4091636910,733896327,35189700,6.757308777,6757308777
2008,1018065273,914594516,4140358378,735549442,35890031,6.84445764,6844457640
2009,1044777532,924521281,4189938692,736935723,36593207,6.932766435,6932766435
2010,1072216499,934293894,4239822679,738145317,37253760,7.021732149,7021732149
2011,1100148605,944029797,4289496392,739359202,37889768,7.110923764,7110923764
2012,1128843456,953741209,4339608796,740458840,38550174,7.201202475,7201202475
2013,1158780288,963367755,4388941163,741470776,39233595,7.291793577,7291793577
2014,1189220347,972890540,4436946301,742640639,39918438,7.381616265,7381616265
2015,1220075494,982256772,4483307887,744237034,40614680,7.470491867,7470491867
2016,1251208463,991580859,4528415170,746003106,41346915,7.558554513,7558554513
2017,1282902108,1000714164,4572478790,747429208,42093650,7.64561792,7645617920
2018,1315409781,1009489473,4613623524,748564859,42815158,7.729902795,7729902795
2019,1348005491,1017894602,4652385277,749504129,43504185,7.811293684,7811293684
2020,1380821159,1024463737,4688113349,749524039,44078974,7.887001258,7887001258
2021,1413753053,1029207261,4718316356,748613503,44558212,7.954448385,7954448385
2022,1446883651,1034848562,4747661012,746964589,45049350,8.021407164,8021407164
2023,1480770527,1041794259,4778004495,745602869,45562792,8.091734942,8091734942
